Aerovento,255,140,190,140,OTO
Aeroviajes Ejecutivos,255,0,210,90,AVJ
Aerovias Bueno,255,0,10,200,ABU
Aerovias Castillo,255,20,110,110,CLL
Aerovias DAP,255,30,0,150,DAP
Aerovias de Lagos,255,110,0,60,LAG
Aerovias Del Golfo,255,60,50,140,GFO
Aerovias Ejecutivas,255,140,210,80,OVI
Aerovias Especiales de Carga,255,210,180,20,VSC
Aerovias Las Americas,255,0,210,110,AVL
Aerovias Montes Azules,255,120,250,110,MZL
Aerovias Xalitic,255,230,0,110,XAL
Aerovic,255,140,210,20,OVC
Aerovilla,255,210,210,60,VVG
Aerovista Airlines,255,0,0,150,AAP
Aerovitro,255,210,170,140,VRO
Aeroway,255,0,220,240,AWY
Aerowings,255,0,220,60,AWG
Aeroxtra,255,170,230,190,RXT
Aerspace Consortium,255,160,20,0,QCA
Aex Air,255,30,180,190,DST
AF-Air International,255,50,0,130,FAN
Affretair,255,0,50,120,AFM
Afit,255,100,80,40,KIE
Africa Air Links,255,0,50,100,AFK
Africa Aviation Handlers,255,50,170,100,FRK
Africa Chartered Services,255,0,50,240,AFY
Africa Freight Services,255,0,50,250,AFZ
Africa One [Congo],255,20,50,170,CFR
Africa One [Zambia],255,0,250,110,AZL
Africa West,255,220,190,0,WTA
Afric'Air Charter,255,0,50,50,AFF
Afric'air Express,255,0,0,230,AAX
Africair Service,255,50,50,10,FFB
African Airlines,255,50,30,0,FDA
African Airlines International,255,0,80,100,AIK
African Cargo Services,255,0,20,10,ACB
African Express Airways,255,0,230,100,AXK
African International Airlines,255,0,50,130,AFN
African International Airways,255,0,80,130,AIN
African International Airways,255,170,140,10,ROB
African Safari Airways,255,160,180,20,QSC
African Star Airways,255,0,180,60,ASG
African Transport Trading & Investment (ATTICO),255,40,190,20,ETC
African West Air (AWA),255,0,50,20,AFC
AfricaOne,255,0,50,80,AFI
Afrijet Airlines,255,50,170,90,FRJ
Afrinat International Airlines,255,0,50,200,AFU
Afriqiyah Airways,255,0,0,220,AAW
Afrique Airlines,255,50,10,130,FBN
Afrique Cargo Service Senegal,255,130,50,180,NFS
Afrique Chart'Air,255,50,170,160,FRQ
Afrique Regional Airways,255,0,50,220,AFW
Afro International Ent,255,0,140,170,AOR
AFT,255,0,50,190,AFT
AFTN Communications Centre,255,240,50,0,YFA
Agderfly,255,0,60,30,AGD
Agence Nationale Des Aerodromes Et de La Meteorologie (ANAM),255,250,250,120,ZZM
Agrar-Aviacion,255,0,60,80,AGI
Agroar - Trabalhos Aereos,255,60,170,170,GRR
Agrocentr-Avia,255,60,180,210,GSV
Agrolet-Mci,255,0,60,250,AGZ
Aguilas Mayas Internacional,255,60,120,40,GME
AHK Air Hong Kong,255,0,70,100,AHK
AHK Air Hong Kong (Cargo),255,0,70,100,AHKC
Aigle Azur,255,0,0,50,AAF
Air & Sea Transport,255,0,180,130,ASN
Air & Training Center-West,255,10,30,80,BDI
Air 2000,255,0,120,120,AMM
Air 500,255,10,170,120,BRM
Air Adriatic,255,0,70,170,AHR
Air Affaires Afrique,255,50,0,180,FAS
Air Affaires Tchad,255,50,190,20,FTC
Air Afrique Vacancies,255,0,50,210,AFV
Air Algerie,255,30,0,70,DAH
Air Alliance,255,60,60,130,GGN
Air ALM,255,0,110,120,ALM
Air Alma,255,0,0,90,AAJ
Air Alpha,255,30,10,0,DBA
Air Alpha Greenland,255,0,70,0,AHA
Air Alsie,255,120,120,30,MMD
Air Alvik,255,0,210,100,AVK
Air Ambar,255,0,120,240,AMY
Air Amder,255,170,120,30,RMD
Air American/Total Air,255,0,120,170,AMR
Air Anatolia,255,130,190,110,NTL
Air Angouleme,255,0,60,110,AGL
Air Arabia,255,0,10,240,ABY
Air Archipels,255,170,70,110,RHL
Air Armenia,255,0,170,170,ARR
Air Armorique,255,170,120,160,RMQ
Air Aruba,255,0,170,200,ARU
Air Asia,255,0,230,120,AXM
Air Astana,255,100,250,170,KZR
Air Atlanta Europe,255,40,200,100,EUK
Air Atlanta Icelandic,255,0,10,30,ABD
Air Atlanta Icelandic (Cargo),255,0,10,30,ABDC
Air Atlantic,255,0,130,80,ANI
Air Atlantic Dominicana,255,0,30,20,ADC
Air Atlantic Uruguay,255,0,200,120,AUM
Air Atlantique,255,0,0,60,AAG
Air Atlantique/Air PublicitE,255,0,150,10,APB
Air Atlas Express,255,0,230,150,AXP
Air Aurora,255,0,0,80,AAI
Air Austral,255,170,40,200,REU
Air Baffin,255,10,50,50,BFF
Air Baltic,255,10,190,80,BTI
Air Bandama,255,10,30,120,BDM
Air Bangladesh,255,10,60,30,BGD
Air Belgium,255,0,10,10,ABB
Air Berlin,255,10,40,170,BER
Air Bised,255,60,50,60,GFG
Air Bor,255,10,170,80,BRI
Air Bosna,255,10,140,130,BON
Air Botnia,255,100,50,10,KFB
Air Botswana,255,10,140,190,BOT
